start,end,text,words,speaker
0.031,7.441," und kommen zu dem Geschäftsbereich des Bundesministeriums für Bildung, Familie, Senioren, Frauen und Jugend.","[{'word': 'und', 'start': np.float64(0.031), 'end': np.float64(0.952), 'score': np.float64(0.554), 'speaker': 'SPEAKER_14'}, {'word': 'kommen', 'start': np.float64(0.992), 'end': np.float64(1.793), 'score': np.float64(0.921), 'speaker': 'SPEAKER_14'}, {'word': 'zu', 'start': np.float64(1.833), 'end': np.float64(1.913), 'score': np.float64(0.98), 'speaker': 'SPEAKER_14'}, {'word': 'dem', 'start': np.float64(1.954), 'end': np.float64(2.074), 'score': np.float64(0.829), 'speaker': 'SPEAKER_14'}, {'word': 'Geschäftsbereich', 'start': np.float64(2.114), 'end': np.float64(2.735), 'score': np.float64(0.841), 'speaker': 'SPEAKER_14'}, {'word': 'des', 'start': np.float64(2.775), 'end': np.float64(2.935), 'score': np.float64(0.915), 'speaker': 'SPEAKER_14'}, {'word': 'Bundesministeriums', 'start': np.float64(2.975), 'end': np.float64(3.716), 'score': np.float64(0.791), 'speaker': 'SPEAKER_14'}, {'word': 'für', 'start': np.float64(3.756), 'end': np.float64(3.876), 'score': np.float64(0.957), 'speaker': 'SPEAKER_14'}, {'word': 'Bildung,', 'start': np.float64(3.896), 'end': np.float64(4.216), 'score': np.float64(0.855), 'speaker': 'SPEAKER_14'}, {'word': 'Familie,', 'start': np.float64(4.257), 'end': np.float64(4.977), 'score': np.float64(0.809), 'speaker': 'SPEAKER_14'}, {'word': 'Senioren,', 'start': np.float64(4.997), 'end': np.float64(5.498), 'score': np.float64(0.864), 'speaker': 'SPEAKER_14'}, {'word': 'Frauen', 'start': np.float64(5.518), 'end': np.float64(5.819), 'score': np.float64(0.92), 'speaker': 'SPEAKER_14'}, {'word': 'und', 'start': np.float64(5.859), 'end': np.float64(6.019), 'score': np.float64(0.907), 'speaker': 'SPEAKER_14'}, {'word': 'Jugend.', 'start': np.float64(6.059), 'end': np.float64(7.441), 'score': np.float64(0.966), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
7.681,23.462,"Wenn es hier ruhig genug ist und hier die Leute ich danke schön, geht alles noch ein bisschen schneller, dann würde ich nämlich das Wort gleich erteilen wollen der Eröffnung dieser Aussprache.","[{'word': 'Wenn', 'start': np.float64(7.681), 'end': np.float64(7.821), 'score': np.float64(0.836), 'speaker': 'SPEAKER_14'}, {'word': 'es', 'start': np.float64(7.861), 'end': np.float64(7.961), 'score': np.float64(0.94), 'speaker': 'SPEAKER_14'}, {'word': 'hier', 'start': np.float64(8.001), 'end': np.float64(8.562), 'score': np.float64(0.654), 'speaker': 'SPEAKER_14'}, {'word': 'ruhig', 'start': np.float64(8.622), 'end': np.float64(8.943), 'score': np.float64(0.848), 'speaker': 'SPEAKER_14'}, {'word': 'genug', 'start': np.float64(9.003), 'end': np.float64(9.283), 'score': np.float64(0.988), 'speaker': 'SPEAKER_14'}, {'word': 'ist', 'start': np.float64(9.343), 'end': np.float64(9.724), 'score': np.float64(0.922), 'speaker': 'SPEAKER_14'}, {'word': 'und', 'start': np.float64(9.764), 'end': np.float64(10.004), 'score': np.float64(0.914), 'speaker': 'SPEAKER_14'}, {'word': 'hier', 'start': np.float64(10.024), 'end': np.float64(10.304), 'score': np.float64(0.724), 'speaker': 'SPEAKER_14'}, {'word': 'die', 'start': np.float64(10.324), 'end': np.float64(10.425), 'score': np.float64(0.802), 'speaker': 'SPEAKER_14'}, {'word': 'Leute', 'start': np.float64(10.465), 'end': np.float64(12.407), 'score': np.float64(0.992), 'speaker': 'SPEAKER_14'}, {'word': 'ich', 'start': np.float64(12.467), 'end': np.float64(12.667), 'score': np.float64(0.813), 'speaker': 'SPEAKER_14'}, {'word': 'danke', 'start': np.float64(12.708), 'end': np.float64(12.928), 'score': np.float64(0.895), 'speaker': 'SPEAKER_14'}, {'word': 'schön,', 'start': np.float64(12.948), 'end': np.float64(14.049), 'score': np.float64(0.827), 'speaker': 'SPEAKER_14'}, {'word': 'geht', 'start': np.float64(14.069), 'end': np.float64(14.27), 'score': np.float64(0.941), 'speaker': 'SPEAKER_14'}, {'word': 'alles', 'start': np.float64(14.31), 'end': np.float64(14.51), 'score': np.float64(0.947), 'speaker': 'SPEAKER_14'}, {'word': 'noch', 'start': np.float64(14.53), 'end': np.float64(14.63), 'score': np.float64(0.875), 'speaker': 'SPEAKER_14'}, {'word': 'ein', 'start': np.float64(14.69), 'end': np.float64(14.81), 'score': np.float64(0.553), 'speaker': 'SPEAKER_14'}, {'word': 'bisschen', 'start': np.float64(14.85), 'end': np.float64(15.111), 'score': np.float64(0.874), 'speaker': 'SPEAKER_14'}, {'word': 'schneller,', 'start': np.float64(15.131), 'end': np.float64(15.591), 'score': np.float64(0.842), 'speaker': 'SPEAKER_14'}, {'word': 'dann', 'start': np.float64(15.611), 'end': np.float64(15.772), 'score': np.float64(0.927), 'speaker': 'SPEAKER_14'}, {'word': 'würde', 'start': np.float64(15.792), 'end': np.float64(15.912), 'score': np.float64(0.981), 'speaker': 'SPEAKER_14'}, {'word': 'ich', 'start': np.float64(15.932), 'end': np.float64(16.032), 'score': np.float64(0.686), 'speaker': 'SPEAKER_14'}, {'word': 'nämlich', 'start': np.float64(16.072), 'end': np.float64(16.292), 'score': np.float64(0.898), 'speaker': 'SPEAKER_14'}, {'word': 'das', 'start': np.float64(16.332), 'end': np.float64(16.452), 'score': np.float64(0.906), 'speaker': 'SPEAKER_14'}, {'word': 'Wort', 'start': np.float64(16.472), 'end': np.float64(16.653), 'score': np.float64(0.861), 'speaker': 'SPEAKER_14'}, {'word': 'gleich', 'start': np.float64(16.693), 'end': np.float64(17.514), 'score': np.float64(0.89), 'speaker': 'SPEAKER_14'}, {'word': 'erteilen', 'start': np.float64(17.554), 'end': np.float64(17.934), 'score': np.float64(0.914), 'speaker': 'SPEAKER_14'}, {'word': 'wollen', 'start': np.float64(17.994), 'end': np.float64(18.275), 'score': np.float64(0.911), 'speaker': 'SPEAKER_14'}, {'word': 'der', 'start': np.float64(18.335), 'end': np.float64(18.435), 'score': np.float64(0.796), 'speaker': 'SPEAKER_14'}, {'word': 'Eröffnung', 'start': np.float64(18.495), 'end': np.float64(19.116), 'score': np.float64(0.792), 'speaker': 'SPEAKER_14'}, {'word': 'dieser', 'start': np.float64(19.156), 'end': np.float64(19.316), 'score': np.float64(0.756), 'speaker': 'SPEAKER_14'}, {'word': 'Aussprache.', 'start': np.float64(19.376), 'end': np.float64(23.462), 'score': np.float64(0.927), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
23.502,28.068,"Alle, die hier im Rudel stehen und miteinander unterhalten, ein paar kann ich auch hier namentlich benennen.","[{'word': 'Alle,', 'start': np.float64(23.502), 'end': np.float64(23.722), 'score': np.float64(0.97), 'speaker': 'SPEAKER_14'}, {'word': 'die', 'start': np.float64(23.742), 'end': np.float64(23.862), 'score': np.float64(0.961), 'speaker': 'SPEAKER_14'}, {'word': 'hier', 'start': np.float64(23.882), 'end': np.float64(24.022), 'score': np.float64(0.666), 'speaker': 'SPEAKER_14'}, {'word': 'im', 'start': np.float64(24.062), 'end': np.float64(24.142), 'score': np.float64(0.865), 'speaker': 'SPEAKER_14'}, {'word': 'Rudel', 'start': np.float64(24.182), 'end': np.float64(24.423), 'score': np.float64(0.812), 'speaker': 'SPEAKER_14'}, {'word': 'stehen', 'start': np.float64(24.443), 'end': np.float64(24.643), 'score': np.float64(0.796), 'speaker': 'SPEAKER_14'}, {'word': 'und', 'start': np.float64(24.683), 'end': np.float64(24.763), 'score': np.float64(0.869), 'speaker': 'SPEAKER_14'}, {'word': 'miteinander', 'start': np.float64(24.783), 'end': np.float64(25.164), 'score': np.float64(0.817), 'speaker': 'SPEAKER_14'}, {'word': 'unterhalten,', 'start': np.float64(25.204), 'end': np.float64(25.624), 'score': np.float64(0.843), 'speaker': 'SPEAKER_14'}, {'word': 'ein', 'start': np.float64(25.865), 'end': np.float64(26.005), 'score': np.float64(0.453), 'speaker': 'SPEAKER_14'}, {'word': 'paar', 'start': np.float64(26.025), 'end': np.float64(26.205), 'score': np.float64(0.751), 'speaker': 'SPEAKER_14'}, {'word': 'kann', 'start': np.float64(26.225), 'end': np.float64(26.786), 'score': np.float64(0.831), 'speaker': 'SPEAKER_14'}, {'word': 'ich', 'start': np.float64(26.846), 'end': np.float64(26.926), 'score': np.float64(0.866), 'speaker': 'SPEAKER_14'}, {'word': 'auch', 'start': np.float64(26.966), 'end': np.float64(27.066), 'score': np.float64(0.844), 'speaker': 'SPEAKER_14'}, {'word': 'hier', 'start': np.float64(27.086), 'end': np.float64(27.267), 'score': np.float64(0.685), 'speaker': 'SPEAKER_14'}, {'word': 'namentlich', 'start': np.float64(27.287), 'end': np.float64(27.707), 'score': np.float64(0.789), 'speaker': 'SPEAKER_14'}, {'word': 'benennen.', 'start': np.float64(27.747), 'end': np.float64(28.068), 'score': np.float64(0.8), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
28.088,28.869,Das macht nicht besser.,"[{'word': 'Das', 'start': np.float64(28.088), 'end': np.float64(28.208), 'score': np.float64(0.672), 'speaker': 'SPEAKER_14'}, {'word': 'macht', 'start': np.float64(28.228), 'end': np.float64(28.408), 'score': np.float64(0.788), 'speaker': 'SPEAKER_14'}, {'word': 'nicht', 'start': np.float64(28.448), 'end': np.float64(28.608), 'score': np.float64(0.857), 'speaker': 'SPEAKER_14'}, {'word': 'besser.', 'start': np.float64(28.628), 'end': np.float64(28.869), 'score': np.float64(0.856), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
28.889,29.97,Gehen Sie einfach raus.,"[{'word': 'Gehen', 'start': np.float64(28.889), 'end': np.float64(29.029), 'score': np.float64(0.909), 'speaker': 'SPEAKER_14'}, {'word': 'Sie', 'start': np.float64(29.069), 'end': np.float64(29.149), 'score': np.float64(0.806), 'speaker': 'SPEAKER_14'}, {'word': 'einfach', 'start': np.float64(29.189), 'end': np.float64(29.429), 'score': np.float64(0.377), 'speaker': 'SPEAKER_14'}, {'word': 'raus.', 'start': np.float64(29.449), 'end': np.float64(29.97), 'score': np.float64(0.972), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
30.305,38.475, oder setzen Sie sich hin.,"[{'word': 'oder', 'start': np.float64(30.305), 'end': np.float64(30.645), 'score': np.float64(0.922), 'speaker': 'SPEAKER_14'}, {'word': 'setzen', 'start': np.float64(30.705), 'end': np.float64(30.886), 'score': np.float64(0.593), 'speaker': 'SPEAKER_14'}, {'word': 'Sie', 'start': np.float64(30.906), 'end': np.float64(30.966), 'score': np.float64(0.335), 'speaker': 'SPEAKER_14'}, {'word': 'sich', 'start': np.float64(31.006), 'end': np.float64(31.146), 'score': np.float64(0.827), 'speaker': 'SPEAKER_14'}, {'word': 'hin.', 'start': np.float64(31.186), 'end': np.float64(38.475), 'score': np.float64(0.874), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
38.495,40.917,"Das gilt für alle Fraktionen, bitte.","[{'word': 'Das', 'start': np.float64(38.495), 'end': np.float64(38.615), 'score': np.float64(0.95), 'speaker': 'SPEAKER_14'}, {'word': 'gilt', 'start': np.float64(38.655), 'end': np.float64(38.835), 'score': np.float64(0.975), 'speaker': 'SPEAKER_14'}, {'word': 'für', 'start': np.float64(38.875), 'end': np.float64(38.995), 'score': np.float64(0.992), 'speaker': 'SPEAKER_14'}, {'word': 'alle', 'start': np.float64(39.015), 'end': np.float64(39.195), 'score': np.float64(0.98), 'speaker': 'SPEAKER_14'}, {'word': 'Fraktionen,', 'start': np.float64(39.235), 'end': np.float64(39.616), 'score': np.float64(0.803), 'speaker': 'SPEAKER_14'}, {'word': 'bitte.', 'start': np.float64(39.656), 'end': np.float64(40.917), 'score': np.float64(0.879), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
40.937,45.583,"Bitte gehen Sie raus und unterhalten sich draußen, oder setzen Sie sich hin, damit wir weitermachen können.","[{'word': 'Bitte', 'start': np.float64(40.937), 'end': np.float64(41.178), 'score': np.float64(0.822), 'speaker': 'SPEAKER_14'}, {'word': 'gehen', 'start': np.float64(41.198), 'end': np.float64(41.378), 'score': np.float64(0.845), 'speaker': 'SPEAKER_14'}, {'word': 'Sie', 'start': np.float64(41.418), 'end': np.float64(41.498), 'score': np.float64(0.755), 'speaker': 'SPEAKER_14'}, {'word': 'raus', 'start': np.float64(41.578), 'end': np.float64(41.758), 'score': np.float64(0.728), 'speaker': 'SPEAKER_14'}, {'word': 'und', 'start': np.float64(41.798), 'end': np.float64(41.859), 'score': np.float64(0.728), 'speaker': 'SPEAKER_14'}, {'word': 'unterhalten', 'start': np.float64(41.899), 'end': np.float64(42.219), 'score': np.float64(0.437), 'speaker': 'SPEAKER_14'}, {'word': 'sich', 'start': np.float64(42.259), 'end': np.float64(42.379), 'score': np.float64(0.828), 'speaker': 'SPEAKER_14'}, {'word': 'draußen,', 'start': np.float64(42.399), 'end': np.float64(42.74), 'score': np.float64(0.84), 'speaker': 'SPEAKER_14'}, {'word': 'oder', 'start': np.float64(42.78), 'end': np.float64(42.98), 'score': np.float64(0.942), 'speaker': 'SPEAKER_14'}, {'word': 'setzen', 'start': np.float64(43.02), 'end': np.float64(43.2), 'score': np.float64(0.742), 'speaker': 'SPEAKER_14'}, {'word': 'Sie', 'start': np.float64(43.22), 'end': np.float64(43.28), 'score': np.float64(0.328), 'speaker': 'SPEAKER_14'}, {'word': 'sich', 'start': np.float64(43.32), 'end': np.float64(43.42), 'score': np.float64(0.806), 'speaker': 'SPEAKER_14'}, {'word': 'hin,', 'start': np.float64(43.46), 'end': np.float64(43.581), 'score': np.float64(0.796), 'speaker': 'SPEAKER_14'}, {'word': 'damit', 'start': np.float64(43.601), 'end': np.float64(43.801), 'score': np.float64(0.971), 'speaker': 'SPEAKER_14'}, {'word': 'wir', 'start': np.float64(43.841), 'end': np.float64(43.941), 'score': np.float64(0.966), 'speaker': 'SPEAKER_14'}, {'word': 'weitermachen', 'start': np.float64(43.981), 'end': np.float64(44.442), 'score': np.float64(0.919), 'speaker': 'SPEAKER_14'}, {'word': 'können.', 'start': np.float64(44.482), 'end': np.float64(45.583), 'score': np.float64(0.848), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
45.603,47.906,Vielen Dank.,"[{'word': 'Vielen', 'start': np.float64(45.603), 'end': np.float64(45.963), 'score': np.float64(0.911), 'speaker': 'SPEAKER_14'}, {'word': 'Dank.', 'start': np.float64(46.003), 'end': np.float64(47.906), 'score': np.float64(0.99), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
47.926,54.253,"Das Wort erteile ich der Bundesministerin für Bildung, Familie, Senioren, Frauen und Jugend, Frau Karin Brien.","[{'word': 'Das', 'start': np.float64(47.926), 'end': np.float64(48.286), 'score': np.float64(0.969), 'speaker': 'SPEAKER_14'}, {'word': 'Wort', 'start': np.float64(48.326), 'end': np.float64(48.606), 'score': np.float64(0.976), 'speaker': 'SPEAKER_14'}, {'word': 'erteile', 'start': np.float64(48.646), 'end': np.float64(49.047), 'score': np.float64(0.78), 'speaker': 'SPEAKER_14'}, {'word': 'ich', 'start': np.float64(49.067), 'end': np.float64(49.467), 'score': np.float64(0.879), 'speaker': 'SPEAKER_14'}, {'word': 'der', 'start': np.float64(49.487), 'end': np.float64(49.648), 'score': np.float64(0.986), 'speaker': 'SPEAKER_14'}, {'word': 'Bundesministerin', 'start': np.float64(49.668), 'end': np.float64(50.569), 'score': np.float64(0.825), 'speaker': 'SPEAKER_14'}, {'word': 'für', 'start': np.float64(50.609), 'end': np.float64(50.849), 'score': np.float64(0.967), 'speaker': 'SPEAKER_14'}, {'word': 'Bildung,', 'start': np.float64(50.869), 'end': np.float64(51.229), 'score': np.float64(0.868), 'speaker': 'SPEAKER_14'}, {'word': 'Familie,', 'start': np.float64(51.25), 'end': np.float64(51.65), 'score': np.float64(0.953), 'speaker': 'SPEAKER_14'}, {'word': 'Senioren,', 'start': np.float64(51.67), 'end': np.float64(52.131), 'score': np.float64(0.768), 'speaker': 'SPEAKER_14'}, {'word': 'Frauen', 'start': np.float64(52.151), 'end': np.float64(52.391), 'score': np.float64(0.877), 'speaker': 'SPEAKER_14'}, {'word': 'und', 'start': np.float64(52.431), 'end': np.float64(52.591), 'score': np.float64(0.91), 'speaker': 'SPEAKER_14'}, {'word': 'Jugend,', 'start': np.float64(52.631), 'end': np.float64(53.352), 'score': np.float64(0.903), 'speaker': 'SPEAKER_14'}, {'word': 'Frau', 'start': np.float64(53.372), 'end': np.float64(53.512), 'score': np.float64(0.95), 'speaker': 'SPEAKER_14'}, {'word': 'Karin', 'start': np.float64(53.552), 'end': np.float64(53.833), 'score': np.float64(0.826), 'speaker': 'SPEAKER_14'}, {'word': 'Brien.', 'start': np.float64(53.853), 'end': np.float64(54.253), 'score': np.float64(0.607), 'speaker': 'SPEAKER_14'}]",SPEAKER_14
