start,end,text,words,speaker
0.031,2.734, von insgesamt neun Stunden vereinbart.,"[{'word': 'von', 'start': np.float64(0.031), 'end': np.float64(0.912), 'score': np.float64(0.67), 'speaker': 'SPEAKER_12'}, {'word': 'insgesamt', 'start': np.float64(0.972), 'end': np.float64(1.513), 'score': np.float64(0.901), 'speaker': 'SPEAKER_12'}, {'word': 'neun', 'start': np.float64(1.553), 'end': np.float64(1.733), 'score': np.float64(0.777), 'speaker': 'SPEAKER_12'}, {'word': 'Stunden', 'start': np.float64(1.793), 'end': np.float64(2.153), 'score': np.float64(0.928), 'speaker': 'SPEAKER_12'}, {'word': 'vereinbart.', 'start': np.float64(2.193), 'end': np.float64(2.734), 'score': np.float64(0.9), 'speaker': 'SPEAKER_12'}]",SPEAKER_12
2.954,7.759,Wir kommen zu dem Geschäftsbereich des Bundesministeriums des Innern.,"[{'word': 'Wir', 'start': np.float64(2.954), 'end': np.float64(3.074), 'score': np.float64(0.814), 'speaker': 'SPEAKER_12'}, {'word': 'kommen', 'start': np.float64(3.114), 'end': np.float64(3.375), 'score': np.float64(0.966), 'speaker': 'SPEAKER_12'}, {'word': 'zu', 'start': np.float64(3.395), 'end': np.float64(3.475), 'score': np.float64(0.866), 'speaker': 'SPEAKER_12'}, {'word': 'dem', 'start': np.float64(3.515), 'end': np.float64(3.675), 'score': np.float64(0.818), 'speaker': 'SPEAKER_12'}, {'word': 'Geschäftsbereich', 'start': np.float64(3.715), 'end': np.float64(4.816), 'score': np.float64(0.824), 'speaker': 'SPEAKER_12'}, {'word': 'des', 'start': np.float64(4.856), 'end': np.float64(5.096), 'score': np.float64(0.969), 'speaker': 'SPEAKER_12'}, {'word': 'Bundesministeriums', 'start': np.float64(5.116), 'end': np.float64(6.318), 'score': np.float64(0.94), 'speaker': 'SPEAKER_12'}, {'word': 'des', 'start': np.float64(6.378), 'end': np.float64(6.658), 'score': np.float64(0.939), 'speaker': 'SPEAKER_12'}, {'word': 'Innern.', 'start': np.float64(6.718), 'end': np.float64(7.759), 'score': np.float64(0.807), 'speaker': 'SPEAKER_12'}]",SPEAKER_12
8.2,24.097,Das Wort hat nun für die Bundesregierung der Bundesminister des Innern Alexander Dobrindt.,"[{'word': 'Das', 'start': np.float64(8.2), 'end': np.float64(8.42), 'score': np.float64(0.942), 'speaker': 'SPEAKER_12'}, {'word': 'Wort', 'start': np.float64(8.46), 'end': np.float64(8.68), 'score': np.float64(0.962), 'speaker': 'SPEAKER_12'}, {'word': 'hat', 'start': np.float64(8.72), 'end': np.float64(8.94), 'score': np.float64(0.987), 'speaker': 'SPEAKER_12'}, {'word': 'nun', 'start': np.float64(8.98), 'end': np.float64(9.301), 'score': np.float64(0.964), 'speaker': 'SPEAKER_12'}, {'word': 'für', 'start': np.float64(9.341), 'end': np.float64(9.481), 'score': np.float64(0.904), 'speaker': 'SPEAKER_12'}, {'word': 'die', 'start': np.float64(9.521), 'end': np.float64(9.741), 'score': np.float64(0.96), 'speaker': 'SPEAKER_12'}, {'word': 'Bundesregierung', 'start': np.float64(9.761), 'end': np.float64(10.442), 'score': np.float64(0.781), 'speaker': 'SPEAKER_12'}, {'word': 'der', 'start': np.float64(10.482), 'end': np.float64(10.582), 'score': np.float64(0.996), 'speaker': 'SPEAKER_12'}, {'word': 'Bundesminister', 'start': np.float64(10.622), 'end': np.float64(11.303), 'score': np.float64(0.906), 'speaker': 'SPEAKER_12'}, {'word': 'des', 'start': np.float64(11.343), 'end': np.float64(11.463), 'score': np.float64(0.931), 'speaker': 'SPEAKER_12'}, {'word': 'Innern', 'start': np.float64(11.523), 'end': np.float64(12.144), 'score': np.float64(0.773), 'speaker': 'SPEAKER_12'}, {'word': 'Alexander', 'start': np.float64(12.184), 'end': np.float64(12.985), 'score': np.float64(0.908), 'speaker': 'SPEAKER_12'}, {'word': 'Dobrindt.', 'start': np.float64(13.025), 'end': np.float64(24.097), 'score': np.float64(0.727), 'speaker': 'SPEAKER_12'}]",SPEAKER_12
24.697,26.96,Sehr geehrte Damen und Herren!,"[{'word': 'Sehr', 'start': np.float64(24.697), 'end': np.float64(24.817), 'score': np.float64(0.789), 'speaker': 'SPEAKER_07'}, {'word': 'geehrte', 'start': np.float64(24.837), 'end': np.float64(25.098), 'score': np.float64(0.67), 'speaker': 'SPEAKER_07'}, {'word': 'Damen', 'start': np.float64(25.118), 'end': np.float64(25.278), 'score': np.float64(0.976), 'speaker': 'SPEAKER_07'}, {'word': 'und', 'start': np.float64(25.298), 'end': np.float64(25.398), 'score': np.float64(0.923), 'speaker': 'SPEAKER_07'}, {'word': 'Herren!', 'start': np.float64(25.438), 'end': np.float64(26.96), 'score': np.float64(0.924), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
26.98,28.101,Liebe Kolleginnen und Kollegen!,"[{'word': 'Liebe', 'start': np.float64(26.98), 'end': np.float64(27.16), 'score': np.float64(0.874), 'speaker': 'SPEAKER_07'}, {'word': 'Kolleginnen', 'start': np.float64(27.2), 'end': np.float64(27.5), 'score': np.float64(0.902), 'speaker': 'SPEAKER_07'}, {'word': 'und', 'start': np.float64(27.52), 'end': np.float64(27.6), 'score': np.float64(0.838), 'speaker': 'SPEAKER_07'}, {'word': 'Kollegen!', 'start': np.float64(27.62), 'end': np.float64(28.101), 'score': np.float64(0.849), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
28.121,29.262,Frau Präsidentin!,"[{'word': 'Frau', 'start': np.float64(28.121), 'end': np.float64(28.281), 'score': np.float64(0.82), 'speaker': 'SPEAKER_07'}, {'word': 'Präsidentin!', 'start': np.float64(28.321), 'end': np.float64(29.262), 'score': np.float64(0.913), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
30.676,36.403, Der Haushalt 2026 ist ein Meilenstein für die Sicherheitspolitik in Deutschland.,"[{'word': 'Der', 'start': np.float64(30.676), 'end': np.float64(30.916), 'score': np.float64(0.734), 'speaker': 'SPEAKER_07'}, {'word': 'Haushalt', 'start': np.float64(30.936), 'end': np.float64(31.197), 'score': np.float64(0.756), 'speaker': 'SPEAKER_07'}, {'word': '2026', 'start': np.float64(31.217), 'end': np.float64(31.597), 'score': np.float64(0.724), 'speaker': 'SPEAKER_07'}, {'word': 'ist', 'start': np.float64(31.617), 'end': np.float64(32.518), 'score': np.float64(0.695), 'speaker': 'SPEAKER_07'}, {'word': 'ein', 'start': np.float64(32.558), 'end': np.float64(32.759), 'score': np.float64(0.797), 'speaker': 'SPEAKER_07'}, {'word': 'Meilenstein', 'start': np.float64(32.799), 'end': np.float64(33.62), 'score': np.float64(0.938), 'speaker': 'SPEAKER_07'}, {'word': 'für', 'start': np.float64(33.64), 'end': np.float64(33.76), 'score': np.float64(0.683), 'speaker': 'SPEAKER_07'}, {'word': 'die', 'start': np.float64(33.8), 'end': np.float64(33.98), 'score': np.float64(0.932), 'speaker': 'SPEAKER_07'}, {'word': 'Sicherheitspolitik', 'start': np.float64(34.02), 'end': np.float64(35.142), 'score': np.float64(0.821), 'speaker': 'SPEAKER_07'}, {'word': 'in', 'start': np.float64(35.202), 'end': np.float64(35.342), 'score': np.float64(0.998), 'speaker': 'SPEAKER_07'}, {'word': 'Deutschland.', 'start': np.float64(35.382), 'end': np.float64(36.403), 'score': np.float64(0.684), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
36.423,46.376,"Wir stärken die Polizei, wir schützen durch den Ausbau der Zivilverteidigung, wir werden schlagkräftiger durch den Ausbau der Drohnenabwehr.","[{'word': 'Wir', 'start': np.float64(36.423), 'end': np.float64(36.603), 'score': np.float64(0.912), 'speaker': 'SPEAKER_07'}, {'word': 'stärken', 'start': np.float64(36.643), 'end': np.float64(37.064), 'score': np.float64(0.949), 'speaker': 'SPEAKER_07'}, {'word': 'die', 'start': np.float64(37.104), 'end': np.float64(37.224), 'score': np.float64(0.814), 'speaker': 'SPEAKER_07'}, {'word': 'Polizei,', 'start': np.float64(37.264), 'end': np.float64(38.286), 'score': np.float64(0.811), 'speaker': 'SPEAKER_07'}, {'word': 'wir', 'start': np.float64(38.306), 'end': np.float64(38.426), 'score': np.float64(0.949), 'speaker': 'SPEAKER_07'}, {'word': 'schützen', 'start': np.float64(38.466), 'end': np.float64(38.886), 'score': np.float64(0.87), 'speaker': 'SPEAKER_07'}, {'word': 'durch', 'start': np.float64(38.926), 'end': np.float64(39.107), 'score': np.float64(0.807), 'speaker': 'SPEAKER_07'}, {'word': 'den', 'start': np.float64(39.147), 'end': np.float64(39.307), 'score': np.float64(0.929), 'speaker': 'SPEAKER_07'}, {'word': 'Ausbau', 'start': np.float64(39.367), 'end': np.float64(39.807), 'score': np.float64(0.965), 'speaker': 'SPEAKER_07'}, {'word': 'der', 'start': np.float64(39.848), 'end': np.float64(39.968), 'score': np.float64(0.936), 'speaker': 'SPEAKER_07'}, {'word': 'Zivilverteidigung,', 'start': np.float64(40.008), 'end': np.float64(41.75), 'score': np.float64(0.89), 'speaker': 'SPEAKER_07'}, {'word': 'wir', 'start': np.float64(41.79), 'end': np.float64(41.89), 'score': np.float64(0.98), 'speaker': 'SPEAKER_07'}, {'word': 'werden', 'start': np.float64(41.93), 'end': np.float64(42.271), 'score': np.float64(0.923), 'speaker': 'SPEAKER_07'}, {'word': 'schlagkräftiger', 'start': np.float64(42.311), 'end': np.float64(43.372), 'score': np.float64(0.902), 'speaker': 'SPEAKER_07'}, {'word': 'durch', 'start': np.float64(43.412), 'end': np.float64(43.612), 'score': np.float64(0.879), 'speaker': 'SPEAKER_07'}, {'word': 'den', 'start': np.float64(43.652), 'end': np.float64(43.813), 'score': np.float64(0.694), 'speaker': 'SPEAKER_07'}, {'word': 'Ausbau', 'start': np.float64(43.873), 'end': np.float64(44.353), 'score': np.float64(0.836), 'speaker': 'SPEAKER_07'}, {'word': 'der', 'start': np.float64(44.373), 'end': np.float64(44.533), 'score': np.float64(0.755), 'speaker': 'SPEAKER_07'}, {'word': 'Drohnenabwehr.', 'start': np.float64(44.573), 'end': np.float64(46.376), 'score': np.float64(0.881), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
46.416,51.462,Genau das ist der Maßstab der Politik der neuen inneren Sicherheit.,"[{'word': 'Genau', 'start': np.float64(46.416), 'end': np.float64(46.876), 'score': np.float64(0.931), 'speaker': 'SPEAKER_07'}, {'word': 'das', 'start': np.float64(46.916), 'end': np.float64(47.237), 'score': np.float64(0.988), 'speaker': 'SPEAKER_07'}, {'word': 'ist', 'start': np.float64(47.297), 'end': np.float64(47.557), 'score': np.float64(0.988), 'speaker': 'SPEAKER_07'}, {'word': 'der', 'start': np.float64(47.577), 'end': np.float64(47.777), 'score': np.float64(0.988), 'speaker': 'SPEAKER_07'}, {'word': 'Maßstab', 'start': np.float64(47.818), 'end': np.float64(48.699), 'score': np.float64(0.962), 'speaker': 'SPEAKER_07'}, {'word': 'der', 'start': np.float64(48.739), 'end': np.float64(48.939), 'score': np.float64(0.955), 'speaker': 'SPEAKER_07'}, {'word': 'Politik', 'start': np.float64(48.979), 'end': np.float64(49.76), 'score': np.float64(0.997), 'speaker': 'SPEAKER_07'}, {'word': 'der', 'start': np.float64(49.78), 'end': np.float64(49.94), 'score': np.float64(0.992), 'speaker': 'SPEAKER_07'}, {'word': 'neuen', 'start': np.float64(50.0), 'end': np.float64(50.321), 'score': np.float64(0.801), 'speaker': 'SPEAKER_07'}, {'word': 'inneren', 'start': np.float64(50.381), 'end': np.float64(50.781), 'score': np.float64(0.861), 'speaker': 'SPEAKER_07'}, {'word': 'Sicherheit.', 'start': np.float64(50.821), 'end': np.float64(51.462), 'score': np.float64(0.769), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
51.482,55.367,"Stärke, Schutz und Schlagkraft, das ist das, was diese Koalition umsetzt.","[{'word': 'Stärke,', 'start': np.float64(51.482), 'end': np.float64(52.063), 'score': np.float64(0.923), 'speaker': 'SPEAKER_07'}, {'word': 'Schutz', 'start': np.float64(52.083), 'end': np.float64(52.483), 'score': np.float64(0.838), 'speaker': 'SPEAKER_07'}, {'word': 'und', 'start': np.float64(52.523), 'end': np.float64(52.684), 'score': np.float64(0.801), 'speaker': 'SPEAKER_07'}, {'word': 'Schlagkraft,', 'start': np.float64(52.724), 'end': np.float64(53.425), 'score': np.float64(0.795), 'speaker': 'SPEAKER_07'}, {'word': 'das', 'start': np.float64(53.445), 'end': np.float64(53.565), 'score': np.float64(0.796), 'speaker': 'SPEAKER_07'}, {'word': 'ist', 'start': np.float64(53.605), 'end': np.float64(53.705), 'score': np.float64(0.776), 'speaker': 'SPEAKER_07'}, {'word': 'das,', 'start': np.float64(53.745), 'end': np.float64(53.885), 'score': np.float64(0.89), 'speaker': 'SPEAKER_07'}, {'word': 'was', 'start': np.float64(53.925), 'end': np.float64(54.045), 'score': np.float64(0.963), 'speaker': 'SPEAKER_07'}, {'word': 'diese', 'start': np.float64(54.085), 'end': np.float64(54.266), 'score': np.float64(0.799), 'speaker': 'SPEAKER_07'}, {'word': 'Koalition', 'start': np.float64(54.286), 'end': np.float64(54.726), 'score': np.float64(0.845), 'speaker': 'SPEAKER_07'}, {'word': 'umsetzt.', 'start': np.float64(54.806), 'end': np.float64(55.367), 'score': np.float64(0.872), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
