start,end,text,words,speaker
0.031,4.779, Bundesministerium der Justiz und für Verbraucherschutz.,"[{'word': 'Bundesministerium', 'start': np.float64(0.031), 'end': np.float64(2.155), 'score': np.float64(0.814), 'speaker': 'SPEAKER_19'}, {'word': 'der', 'start': np.float64(2.195), 'end': np.float64(2.335), 'score': np.float64(0.824), 'speaker': 'SPEAKER_19'}, {'word': 'Justiz', 'start': np.float64(2.355), 'end': np.float64(2.916), 'score': np.float64(0.856), 'speaker': 'SPEAKER_19'}, {'word': 'und', 'start': np.float64(2.956), 'end': np.float64(3.177), 'score': np.float64(0.885), 'speaker': 'SPEAKER_19'}, {'word': 'für', 'start': np.float64(3.197), 'end': np.float64(3.477), 'score': np.float64(0.991), 'speaker': 'SPEAKER_19'}, {'word': 'Verbraucherschutz.', 'start': np.float64(3.517), 'end': np.float64(4.779), 'score': np.float64(0.813), 'speaker': 'SPEAKER_19'}]",SPEAKER_19
5.02,10.95,Für die Bundesregierung hat nun Frau Bundesministerin Dr. Stefanie Hubig das Wort.,"[{'word': 'Für', 'start': np.float64(5.02), 'end': np.float64(5.12), 'score': np.float64(0.971), 'speaker': 'SPEAKER_19'}, {'word': 'die', 'start': np.float64(5.14), 'end': np.float64(5.32), 'score': np.float64(0.913), 'speaker': 'SPEAKER_19'}, {'word': 'Bundesregierung', 'start': np.float64(5.38), 'end': np.float64(6.222), 'score': np.float64(0.847), 'speaker': 'SPEAKER_19'}, {'word': 'hat', 'start': np.float64(6.262), 'end': np.float64(6.543), 'score': np.float64(0.973), 'speaker': 'SPEAKER_19'}, {'word': 'nun', 'start': np.float64(6.563), 'end': np.float64(6.943), 'score': np.float64(0.901), 'speaker': 'SPEAKER_19'}, {'word': 'Frau', 'start': np.float64(6.983), 'end': np.float64(7.304), 'score': np.float64(0.947), 'speaker': 'SPEAKER_19'}, {'word': 'Bundesministerin', 'start': np.float64(7.364), 'end': np.float64(8.907), 'score': np.float64(0.855), 'speaker': 'SPEAKER_19'}, {'word': 'Dr.', 'start': np.float64(8.967), 'end': np.float64(9.307), 'score': np.float64(0.555), 'speaker': 'SPEAKER_19'}, {'word': 'Stefanie', 'start': np.float64(9.348), 'end': np.float64(10.049), 'score': np.float64(0.838), 'speaker': 'SPEAKER_19'}, {'word': 'Hubig', 'start': np.float64(10.089), 'end': np.float64(10.429), 'score': np.float64(0.841), 'speaker': 'SPEAKER_19'}, {'word': 'das', 'start': np.float64(10.47), 'end': np.float64(10.63), 'score': np.float64(0.984), 'speaker': 'SPEAKER_19'}, {'word': 'Wort.', 'start': np.float64(10.67), 'end': np.float64(10.95), 'score': np.float64(0.984), 'speaker': 'SPEAKER_19'}]",SPEAKER_19
11.171,17.462,"Ich bitte, sehr zügig den Platzwechsel vorzunehmen, damit wir fortfahren können.","[{'word': 'Ich', 'start': np.float64(11.171), 'end': np.float64(11.291), 'score': np.float64(0.801), 'speaker': 'SPEAKER_19'}, {'word': 'bitte,', 'start': np.float64(11.331), 'end': np.float64(12.132), 'score': np.float64(0.977), 'speaker': 'SPEAKER_19'}, {'word': 'sehr', 'start': np.float64(12.152), 'end': np.float64(12.353), 'score': np.float64(0.796), 'speaker': 'SPEAKER_19'}, {'word': 'zügig', 'start': np.float64(12.413), 'end': np.float64(12.914), 'score': np.float64(0.892), 'speaker': 'SPEAKER_19'}, {'word': 'den', 'start': np.float64(13.896), 'end': np.float64(14.056), 'score': np.float64(0.722), 'speaker': 'SPEAKER_19'}, {'word': 'Platzwechsel', 'start': np.float64(14.096), 'end': np.float64(14.757), 'score': np.float64(0.791), 'speaker': 'SPEAKER_19'}, {'word': 'vorzunehmen,', 'start': np.float64(14.797), 'end': np.float64(16.3), 'score': np.float64(0.901), 'speaker': 'SPEAKER_19'}, {'word': 'damit', 'start': np.float64(16.32), 'end': np.float64(16.58), 'score': np.float64(0.959), 'speaker': 'SPEAKER_19'}, {'word': 'wir', 'start': np.float64(16.62), 'end': np.float64(16.741), 'score': np.float64(0.986), 'speaker': 'SPEAKER_19'}, {'word': 'fortfahren', 'start': np.float64(16.781), 'end': np.float64(17.141), 'score': np.float64(0.685), 'speaker': 'SPEAKER_19'}, {'word': 'können.', 'start': np.float64(17.181), 'end': np.float64(17.462), 'score': np.float64(0.895), 'speaker': 'SPEAKER_19'}]",SPEAKER_19
17.502,18.664,"Bitte, Frau Dr. Hubig.","[{'word': 'Bitte,', 'start': np.float64(17.502), 'end': np.float64(17.863), 'score': np.float64(0.8), 'speaker': 'SPEAKER_19'}, {'word': 'Frau', 'start': np.float64(17.883), 'end': np.float64(18.003), 'score': np.float64(0.934), 'speaker': 'SPEAKER_19'}, {'word': 'Dr.', 'start': np.float64(18.043), 'end': np.float64(18.303), 'score': np.float64(0.485), 'speaker': 'SPEAKER_19'}, {'word': 'Hubig.', 'start': np.float64(18.323), 'end': np.float64(18.664), 'score': np.float64(0.759), 'speaker': 'SPEAKER_19'}]",SPEAKER_19
26.069,28.573, Sehr geehrte Frau Präsidentin!,"[{'word': 'Sehr', 'start': np.float64(26.069), 'end': np.float64(26.39), 'score': np.float64(0.649), 'speaker': 'SPEAKER_15'}, {'word': 'geehrte', 'start': np.float64(26.41), 'end': np.float64(27.051), 'score': np.float64(0.716), 'speaker': 'SPEAKER_15'}, {'word': 'Frau', 'start': np.float64(27.091), 'end': np.float64(27.451), 'score': np.float64(0.802), 'speaker': 'SPEAKER_15'}, {'word': 'Präsidentin!', 'start': np.float64(27.491), 'end': np.float64(28.573), 'score': np.float64(0.866), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
28.593,31.158,Meine sehr geehrten Damen und Herren Abgeordnete!,"[{'word': 'Meine', 'start': np.float64(28.593), 'end': np.float64(28.774), 'score': np.float64(0.719), 'speaker': 'SPEAKER_15'}, {'word': 'sehr', 'start': np.float64(28.814), 'end': np.float64(28.934), 'score': np.float64(0.806), 'speaker': 'SPEAKER_15'}, {'word': 'geehrten', 'start': np.float64(28.954), 'end': np.float64(29.294), 'score': np.float64(0.811), 'speaker': 'SPEAKER_15'}, {'word': 'Damen', 'start': np.float64(29.335), 'end': np.float64(29.475), 'score': np.float64(0.894), 'speaker': 'SPEAKER_15'}, {'word': 'und', 'start': np.float64(29.515), 'end': np.float64(29.615), 'score': np.float64(0.845), 'speaker': 'SPEAKER_15'}, {'word': 'Herren', 'start': np.float64(29.655), 'end': np.float64(30.476), 'score': np.float64(0.954), 'speaker': 'SPEAKER_15'}, {'word': 'Abgeordnete!', 'start': np.float64(30.517), 'end': np.float64(31.158), 'score': np.float64(0.898), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
31.178,35.785,Wir haben in den letzten Tagen viel über den Zustand Deutschlands debattiert.,"[{'word': 'Wir', 'start': np.float64(31.178), 'end': np.float64(31.238), 'score': np.float64(0.992), 'speaker': 'SPEAKER_15'}, {'word': 'haben', 'start': np.float64(31.258), 'end': np.float64(31.418), 'score': np.float64(0.895), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(31.458), 'end': np.float64(31.538), 'score': np.float64(0.719), 'speaker': 'SPEAKER_15'}, {'word': 'den', 'start': np.float64(31.558), 'end': np.float64(31.658), 'score': np.float64(0.809), 'speaker': 'SPEAKER_15'}, {'word': 'letzten', 'start': np.float64(31.678), 'end': np.float64(32.179), 'score': np.float64(0.8), 'speaker': 'SPEAKER_15'}, {'word': 'Tagen', 'start': np.float64(32.239), 'end': np.float64(32.961), 'score': np.float64(0.939), 'speaker': 'SPEAKER_15'}, {'word': 'viel', 'start': np.float64(33.001), 'end': np.float64(33.281), 'score': np.float64(0.876), 'speaker': 'SPEAKER_15'}, {'word': 'über', 'start': np.float64(33.321), 'end': np.float64(33.662), 'score': np.float64(0.887), 'speaker': 'SPEAKER_15'}, {'word': 'den', 'start': np.float64(33.682), 'end': np.float64(33.842), 'score': np.float64(0.969), 'speaker': 'SPEAKER_15'}, {'word': 'Zustand', 'start': np.float64(33.862), 'end': np.float64(34.303), 'score': np.float64(0.867), 'speaker': 'SPEAKER_15'}, {'word': 'Deutschlands', 'start': np.float64(34.323), 'end': np.float64(35.064), 'score': np.float64(0.825), 'speaker': 'SPEAKER_15'}, {'word': 'debattiert.', 'start': np.float64(35.104), 'end': np.float64(35.785), 'score': np.float64(0.88), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
37.048,43.198,"Mir ist es an dieser Stelle einfach mal ein Bedürfnis, zu sagen, in Deutschland läuft sehr vieles sehr gut.","[{'word': 'Mir', 'start': np.float64(37.048), 'end': np.float64(37.168), 'score': np.float64(0.979), 'speaker': 'SPEAKER_15'}, {'word': 'ist', 'start': np.float64(37.208), 'end': np.float64(37.308), 'score': np.float64(0.925), 'speaker': 'SPEAKER_15'}, {'word': 'es', 'start': np.float64(37.328), 'end': np.float64(37.508), 'score': np.float64(0.684), 'speaker': 'SPEAKER_15'}, {'word': 'an', 'start': np.float64(37.548), 'end': np.float64(37.629), 'score': np.float64(0.867), 'speaker': 'SPEAKER_15'}, {'word': 'dieser', 'start': np.float64(37.669), 'end': np.float64(37.849), 'score': np.float64(0.733), 'speaker': 'SPEAKER_15'}, {'word': 'Stelle', 'start': np.float64(37.889), 'end': np.float64(38.169), 'score': np.float64(0.895), 'speaker': 'SPEAKER_15'}, {'word': 'einfach', 'start': np.float64(38.19), 'end': np.float64(38.41), 'score': np.float64(0.819), 'speaker': 'SPEAKER_15'}, {'word': 'mal', 'start': np.float64(38.49), 'end': np.float64(38.59), 'score': np.float64(0.835), 'speaker': 'SPEAKER_15'}, {'word': 'ein', 'start': np.float64(38.61), 'end': np.float64(38.73), 'score': np.float64(0.617), 'speaker': 'SPEAKER_15'}, {'word': 'Bedürfnis,', 'start': np.float64(38.77), 'end': np.float64(39.271), 'score': np.float64(0.912), 'speaker': 'SPEAKER_15'}, {'word': 'zu', 'start': np.float64(39.311), 'end': np.float64(39.432), 'score': np.float64(0.936), 'speaker': 'SPEAKER_15'}, {'word': 'sagen,', 'start': np.float64(39.472), 'end': np.float64(39.952), 'score': np.float64(0.78), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(39.973), 'end': np.float64(40.093), 'score': np.float64(0.944), 'speaker': 'SPEAKER_15'}, {'word': 'Deutschland', 'start': np.float64(40.133), 'end': np.float64(40.674), 'score': np.float64(0.768), 'speaker': 'SPEAKER_15'}, {'word': 'läuft', 'start': np.float64(40.734), 'end': np.float64(41.155), 'score': np.float64(0.984), 'speaker': 'SPEAKER_15'}, {'word': 'sehr', 'start': np.float64(41.195), 'end': np.float64(41.435), 'score': np.float64(0.684), 'speaker': 'SPEAKER_15'}, {'word': 'vieles', 'start': np.float64(41.495), 'end': np.float64(42.116), 'score': np.float64(0.898), 'speaker': 'SPEAKER_15'}, {'word': 'sehr', 'start': np.float64(42.156), 'end': np.float64(42.537), 'score': np.float64(0.795), 'speaker': 'SPEAKER_15'}, {'word': 'gut.', 'start': np.float64(42.597), 'end': np.float64(43.198), 'score': np.float64(0.962), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
43.218,52.093,"Wir leben in einer Demokratie und in einem Rechtsstaat, und viele, viele Menschen leben gerne in dieser Demokratie und in diesem Rechtsstaat.","[{'word': 'Wir', 'start': np.float64(43.218), 'end': np.float64(43.338), 'score': np.float64(0.898), 'speaker': 'SPEAKER_15'}, {'word': 'leben', 'start': np.float64(43.398), 'end': np.float64(43.659), 'score': np.float64(0.968), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(43.699), 'end': np.float64(43.819), 'score': np.float64(0.97), 'speaker': 'SPEAKER_15'}, {'word': 'einer', 'start': np.float64(43.839), 'end': np.float64(44.039), 'score': np.float64(0.758), 'speaker': 'SPEAKER_15'}, {'word': 'Demokratie', 'start': np.float64(44.079), 'end': np.float64(46.263), 'score': np.float64(0.78), 'speaker': 'SPEAKER_15'}, {'word': 'und', 'start': np.float64(46.283), 'end': np.float64(46.443), 'score': np.float64(0.822), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(46.484), 'end': np.float64(46.584), 'score': np.float64(0.908), 'speaker': 'SPEAKER_15'}, {'word': 'einem', 'start': np.float64(46.604), 'end': np.float64(46.804), 'score': np.float64(0.805), 'speaker': 'SPEAKER_15'}, {'word': 'Rechtsstaat,', 'start': np.float64(46.844), 'end': np.float64(47.706), 'score': np.float64(0.816), 'speaker': 'SPEAKER_15'}, {'word': 'und', 'start': np.float64(47.746), 'end': np.float64(48.026), 'score': np.float64(0.885), 'speaker': 'SPEAKER_15'}, {'word': 'viele,', 'start': np.float64(48.046), 'end': np.float64(48.427), 'score': np.float64(0.78), 'speaker': 'SPEAKER_15'}, {'word': 'viele', 'start': np.float64(48.447), 'end': np.float64(48.707), 'score': np.float64(0.939), 'speaker': 'SPEAKER_15'}, {'word': 'Menschen', 'start': np.float64(48.747), 'end': np.float64(49.128), 'score': np.float64(0.674), 'speaker': 'SPEAKER_15'}, {'word': 'leben', 'start': np.float64(49.148), 'end': np.float64(49.429), 'score': np.float64(0.932), 'speaker': 'SPEAKER_15'}, {'word': 'gerne', 'start': np.float64(49.469), 'end': np.float64(49.769), 'score': np.float64(0.939), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(49.809), 'end': np.float64(49.889), 'score': np.float64(0.992), 'speaker': 'SPEAKER_15'}, {'word': 'dieser', 'start': np.float64(49.909), 'end': np.float64(50.13), 'score': np.float64(0.654), 'speaker': 'SPEAKER_15'}, {'word': 'Demokratie', 'start': np.float64(50.19), 'end': np.float64(50.751), 'score': np.float64(0.806), 'speaker': 'SPEAKER_15'}, {'word': 'und', 'start': np.float64(50.771), 'end': np.float64(50.891), 'score': np.float64(0.784), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(50.931), 'end': np.float64(51.011), 'score': np.float64(0.876), 'speaker': 'SPEAKER_15'}, {'word': 'diesem', 'start': np.float64(51.051), 'end': np.float64(51.292), 'score': np.float64(0.731), 'speaker': 'SPEAKER_15'}, {'word': 'Rechtsstaat.', 'start': np.float64(51.332), 'end': np.float64(52.093), 'score': np.float64(0.83), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
53.339,56.904," Aber wir haben auch Herausforderungen, und die wollen wir überhaupt nicht verschweigen.","[{'word': 'Aber', 'start': np.float64(53.339), 'end': np.float64(53.639), 'score': np.float64(0.965), 'speaker': 'SPEAKER_15'}, {'word': 'wir', 'start': np.float64(53.659), 'end': np.float64(53.76), 'score': np.float64(0.74), 'speaker': 'SPEAKER_15'}, {'word': 'haben', 'start': np.float64(53.8), 'end': np.float64(53.98), 'score': np.float64(0.92), 'speaker': 'SPEAKER_15'}, {'word': 'auch', 'start': np.float64(54.02), 'end': np.float64(54.18), 'score': np.float64(0.652), 'speaker': 'SPEAKER_15'}, {'word': 'Herausforderungen,', 'start': np.float64(54.2), 'end': np.float64(54.941), 'score': np.float64(0.81), 'speaker': 'SPEAKER_15'}, {'word': 'und', 'start': np.float64(54.981), 'end': np.float64(55.102), 'score': np.float64(0.669), 'speaker': 'SPEAKER_15'}, {'word': 'die', 'start': np.float64(55.122), 'end': np.float64(55.202), 'score': np.float64(0.797), 'speaker': 'SPEAKER_15'}, {'word': 'wollen', 'start': np.float64(55.222), 'end': np.float64(55.382), 'score': np.float64(0.92), 'speaker': 'SPEAKER_15'}, {'word': 'wir', 'start': np.float64(55.402), 'end': np.float64(55.522), 'score': np.float64(0.784), 'speaker': 'SPEAKER_15'}, {'word': 'überhaupt', 'start': np.float64(55.562), 'end': np.float64(55.843), 'score': np.float64(0.917), 'speaker': 'SPEAKER_15'}, {'word': 'nicht', 'start': np.float64(55.883), 'end': np.float64(56.043), 'score': np.float64(0.865), 'speaker': 'SPEAKER_15'}, {'word': 'verschweigen.', 'start': np.float64(56.083), 'end': np.float64(56.904), 'score': np.float64(0.809), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
