start,end,text,words,speaker
0.031,24.537," für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit.","[{'word': 'für', 'start': np.float64(0.031), 'end': np.float64(2.113), 'score': np.float64(0.591), 'speaker': 'SPEAKER_07'}, {'word': 'Umwelt,', 'start': np.float64(2.173), 'end': np.float64(2.754), 'score': np.float64(0.751), 'speaker': 'SPEAKER_07'}, {'word': 'Klimaschutz,', 'start': np.float64(2.774), 'end': np.float64(3.615), 'score': np.float64(0.835), 'speaker': 'SPEAKER_07'}, {'word': 'Naturschutz', 'start': np.float64(3.635), 'end': np.float64(4.316), 'score': np.float64(0.778), 'speaker': 'SPEAKER_07'}, {'word': 'und', 'start': np.float64(4.356), 'end': np.float64(4.636), 'score': np.float64(0.979), 'speaker': 'SPEAKER_07'}, {'word': 'nukleare', 'start': np.float64(4.676), 'end': np.float64(5.257), 'score': np.float64(0.928), 'speaker': 'SPEAKER_07'}, {'word': 'Sicherheit.', 'start': np.float64(5.317), 'end': np.float64(24.537), 'score': np.float64(0.853), 'speaker': 'SPEAKER_14'}]",SPEAKER_07
26.71,52.498," So, jetzt sind wir einigermaßen alle am Sitzen, also ich ja sowieso.","[{'word': 'So,', 'start': np.float64(26.71), 'end': np.float64(40.385), 'score': np.float64(0.71), 'speaker': 'SPEAKER_07'}, {'word': 'jetzt', 'start': np.float64(47.433), 'end': np.float64(47.613), 'score': np.float64(0.772), 'speaker': 'SPEAKER_07'}, {'word': 'sind', 'start': np.float64(47.633), 'end': np.float64(47.733), 'score': np.float64(0.25), 'speaker': 'SPEAKER_07'}, {'word': 'wir', 'start': np.float64(47.753), 'end': np.float64(47.873), 'score': np.float64(0.618), 'speaker': 'SPEAKER_07'}, {'word': 'einigermaßen', 'start': np.float64(47.913), 'end': np.float64(49.875), 'score': np.float64(0.846), 'speaker': 'SPEAKER_07'}, {'word': 'alle', 'start': np.float64(49.915), 'end': np.float64(50.095), 'score': np.float64(0.946), 'speaker': 'SPEAKER_07'}, {'word': 'am', 'start': np.float64(50.135), 'end': np.float64(50.276), 'score': np.float64(0.92), 'speaker': 'SPEAKER_07'}, {'word': 'Sitzen,', 'start': np.float64(50.316), 'end': np.float64(50.996), 'score': np.float64(0.795), 'speaker': 'SPEAKER_07'}, {'word': 'also', 'start': np.float64(51.036), 'end': np.float64(51.177), 'score': np.float64(0.747), 'speaker': 'SPEAKER_07'}, {'word': 'ich', 'start': np.float64(51.237), 'end': np.float64(51.317), 'score': np.float64(0.789), 'speaker': 'SPEAKER_07'}, {'word': 'ja', 'start': np.float64(51.357), 'end': np.float64(51.477), 'score': np.float64(0.607), 'speaker': 'SPEAKER_07'}, {'word': 'sowieso.', 'start': np.float64(51.497), 'end': np.float64(52.498), 'score': np.float64(0.814), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
53.997,54.499, Gut.,"[{'word': 'Gut.', 'start': np.float64(53.997), 'end': np.float64(54.499), 'score': np.float64(0.86), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
54.519,56.949,Dann beginnen wir die Aussprache.,"[{'word': 'Dann', 'start': np.float64(54.519), 'end': np.float64(55.463), 'score': np.float64(0.892), 'speaker': 'SPEAKER_07'}, {'word': 'beginnen', 'start': np.float64(55.503), 'end': np.float64(55.744), 'score': np.float64(0.919), 'speaker': 'SPEAKER_07'}, {'word': 'wir', 'start': np.float64(55.764), 'end': np.float64(55.905), 'score': np.float64(0.966), 'speaker': 'SPEAKER_07'}, {'word': 'die', 'start': np.float64(55.965), 'end': np.float64(56.045), 'score': np.float64(0.822), 'speaker': 'SPEAKER_07'}, {'word': 'Aussprache.', 'start': np.float64(56.086), 'end': np.float64(56.949), 'score': np.float64(0.854), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
56.969,64.159,"Erster Redner in dieser Debatte für die Bundesregierung ist Carsten Schneider, Bundesminister für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit.","[{'word': 'Erster', 'start': np.float64(56.969), 'end': np.float64(57.25), 'score': np.float64(0.825), 'speaker': 'SPEAKER_07'}, {'word': 'Redner', 'start': np.float64(57.291), 'end': np.float64(57.491), 'score': np.float64(0.93), 'speaker': 'SPEAKER_07'}, {'word': 'in', 'start': np.float64(57.532), 'end': np.float64(57.612), 'score': np.float64(0.848), 'speaker': 'SPEAKER_07'}, {'word': 'dieser', 'start': np.float64(57.652), 'end': np.float64(57.873), 'score': np.float64(0.765), 'speaker': 'SPEAKER_07'}, {'word': 'Debatte', 'start': np.float64(57.913), 'end': np.float64(58.275), 'score': np.float64(0.888), 'speaker': 'SPEAKER_07'}, {'word': 'für', 'start': np.float64(58.315), 'end': np.float64(58.415), 'score': np.float64(0.987), 'speaker': 'SPEAKER_07'}, {'word': 'die', 'start': np.float64(58.455), 'end': np.float64(58.556), 'score': np.float64(0.696), 'speaker': 'SPEAKER_07'}, {'word': 'Bundesregierung', 'start': np.float64(58.576), 'end': np.float64(59.259), 'score': np.float64(0.762), 'speaker': 'SPEAKER_07'}, {'word': 'ist', 'start': np.float64(59.319), 'end': np.float64(59.44), 'score': np.float64(0.523), 'speaker': 'SPEAKER_07'}, {'word': 'Carsten', 'start': np.float64(59.48), 'end': np.float64(59.841), 'score': np.float64(0.692), 'speaker': 'SPEAKER_07'}, {'word': 'Schneider,', 'start': np.float64(59.861), 'end': np.float64(60.283), 'score': np.float64(0.823), 'speaker': 'SPEAKER_07'}, {'word': 'Bundesminister', 'start': np.float64(60.303), 'end': np.float64(61.006), 'score': np.float64(0.869), 'speaker': 'SPEAKER_07'}, {'word': 'für', 'start': np.float64(61.046), 'end': np.float64(61.227), 'score': np.float64(0.978), 'speaker': 'SPEAKER_07'}, {'word': 'Umwelt,', 'start': np.float64(61.267), 'end': np.float64(61.568), 'score': np.float64(0.677), 'speaker': 'SPEAKER_07'}, {'word': 'Klimaschutz,', 'start': np.float64(61.588), 'end': np.float64(62.151), 'score': np.float64(0.855), 'speaker': 'SPEAKER_07'}, {'word': 'Naturschutz', 'start': np.float64(62.171), 'end': np.float64(62.733), 'score': np.float64(0.924), 'speaker': 'SPEAKER_07'}, {'word': 'und', 'start': np.float64(62.773), 'end': np.float64(62.974), 'score': np.float64(0.882), 'speaker': 'SPEAKER_07'}, {'word': 'nukleare', 'start': np.float64(62.994), 'end': np.float64(63.456), 'score': np.float64(0.853), 'speaker': 'SPEAKER_07'}, {'word': 'Sicherheit.', 'start': np.float64(63.496), 'end': np.float64(64.159), 'score': np.float64(0.94), 'speaker': 'SPEAKER_07'}]",SPEAKER_07
68.273,69.535, Frau Präsidentin!,"[{'word': 'Frau', 'start': np.float64(68.273), 'end': np.float64(68.774), 'score': np.float64(0.624), 'speaker': 'SPEAKER_15'}, {'word': 'Präsidentin!', 'start': np.float64(68.834), 'end': np.float64(69.535), 'score': np.float64(0.856), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
69.555,71.117,Liebe Kolleginnen und Kollegen!,"[{'word': 'Liebe', 'start': np.float64(69.555), 'end': np.float64(70.036), 'score': np.float64(0.738), 'speaker': 'SPEAKER_15'}, {'word': 'Kolleginnen', 'start': np.float64(70.096), 'end': np.float64(70.536), 'score': np.float64(0.853), 'speaker': 'SPEAKER_15'}, {'word': 'und', 'start': np.float64(70.596), 'end': np.float64(70.737), 'score': np.float64(0.387), 'speaker': 'SPEAKER_15'}, {'word': 'Kollegen!', 'start': np.float64(70.777), 'end': np.float64(71.117), 'score': np.float64(0.807), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
71.838,83.435,"Ich freue mich sehr, dass ich diese Woche hier zum Haushalt sprechen darf, diesmal zur Einbringung für den Haushalt 2026.","[{'word': 'Ich', 'start': np.float64(71.838), 'end': np.float64(71.898), 'score': np.float64(0.35), 'speaker': 'SPEAKER_15'}, {'word': 'freue', 'start': np.float64(71.918), 'end': np.float64(72.099), 'score': np.float64(0.826), 'speaker': 'SPEAKER_15'}, {'word': 'mich', 'start': np.float64(72.119), 'end': np.float64(72.219), 'score': np.float64(0.953), 'speaker': 'SPEAKER_15'}, {'word': 'sehr,', 'start': np.float64(72.259), 'end': np.float64(72.419), 'score': np.float64(0.796), 'speaker': 'SPEAKER_15'}, {'word': 'dass', 'start': np.float64(72.439), 'end': np.float64(72.599), 'score': np.float64(0.914), 'speaker': 'SPEAKER_15'}, {'word': 'ich', 'start': np.float64(72.659), 'end': np.float64(74.041), 'score': np.float64(0.986), 'speaker': 'SPEAKER_15'}, {'word': 'diese', 'start': np.float64(74.081), 'end': np.float64(74.282), 'score': np.float64(0.841), 'speaker': 'SPEAKER_15'}, {'word': 'Woche', 'start': np.float64(74.322), 'end': np.float64(74.682), 'score': np.float64(0.798), 'speaker': 'SPEAKER_15'}, {'word': 'hier', 'start': np.float64(74.722), 'end': np.float64(74.863), 'score': np.float64(0.681), 'speaker': 'SPEAKER_15'}, {'word': 'zum', 'start': np.float64(74.883), 'end': np.float64(75.003), 'score': np.float64(0.731), 'speaker': 'SPEAKER_15'}, {'word': 'Haushalt', 'start': np.float64(75.043), 'end': np.float64(75.323), 'score': np.float64(0.944), 'speaker': 'SPEAKER_15'}, {'word': 'sprechen', 'start': np.float64(75.343), 'end': np.float64(75.644), 'score': np.float64(0.777), 'speaker': 'SPEAKER_15'}, {'word': 'darf,', 'start': np.float64(75.684), 'end': np.float64(75.904), 'score': np.float64(0.926), 'speaker': 'SPEAKER_15'}, {'word': 'diesmal', 'start': np.float64(75.944), 'end': np.float64(77.146), 'score': np.float64(0.765), 'speaker': 'SPEAKER_15'}, {'word': 'zur', 'start': np.float64(77.186), 'end': np.float64(77.366), 'score': np.float64(0.953), 'speaker': 'SPEAKER_15'}, {'word': 'Einbringung', 'start': np.float64(77.406), 'end': np.float64(78.107), 'score': np.float64(0.928), 'speaker': 'SPEAKER_15'}, {'word': 'für', 'start': np.float64(78.127), 'end': np.float64(78.267), 'score': np.float64(0.985), 'speaker': 'SPEAKER_15'}, {'word': 'den', 'start': np.float64(78.308), 'end': np.float64(78.468), 'score': np.float64(0.935), 'speaker': 'SPEAKER_15'}, {'word': 'Haushalt', 'start': np.float64(78.488), 'end': np.float64(79.249), 'score': np.float64(0.863), 'speaker': 'SPEAKER_15'}, {'word': '2026.', 'start': np.float64(79.269), 'end': np.float64(83.435), 'score': np.float64(0.835), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
83.455,91.767,"Diese Woche stand nicht nur um das Zeichen der Haushaltsdebatte hier in Deutschland, sondern auch um das Treffen der Vereinten Nationen in New York.","[{'word': 'Diese', 'start': np.float64(83.455), 'end': np.float64(83.635), 'score': np.float64(0.909), 'speaker': 'SPEAKER_15'}, {'word': 'Woche', 'start': np.float64(83.675), 'end': np.float64(83.896), 'score': np.float64(0.862), 'speaker': 'SPEAKER_15'}, {'word': 'stand', 'start': np.float64(83.916), 'end': np.float64(84.657), 'score': np.float64(0.983), 'speaker': 'SPEAKER_15'}, {'word': 'nicht', 'start': np.float64(84.677), 'end': np.float64(84.797), 'score': np.float64(0.921), 'speaker': 'SPEAKER_15'}, {'word': 'nur', 'start': np.float64(84.817), 'end': np.float64(84.897), 'score': np.float64(0.973), 'speaker': 'SPEAKER_15'}, {'word': 'um', 'start': np.float64(84.937), 'end': np.float64(84.977), 'score': np.float64(0.002), 'speaker': 'SPEAKER_15'}, {'word': 'das', 'start': np.float64(84.997), 'end': np.float64(85.057), 'score': np.float64(0.288), 'speaker': 'SPEAKER_15'}, {'word': 'Zeichen', 'start': np.float64(85.077), 'end': np.float64(85.318), 'score': np.float64(0.856), 'speaker': 'SPEAKER_15'}, {'word': 'der', 'start': np.float64(85.338), 'end': np.float64(85.398), 'score': np.float64(0.878), 'speaker': 'SPEAKER_15'}, {'word': 'Haushaltsdebatte', 'start': np.float64(85.438), 'end': np.float64(86.039), 'score': np.float64(0.88), 'speaker': 'SPEAKER_15'}, {'word': 'hier', 'start': np.float64(86.279), 'end': np.float64(86.399), 'score': np.float64(0.679), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(86.419), 'end': np.float64(86.519), 'score': np.float64(0.97), 'speaker': 'SPEAKER_15'}, {'word': 'Deutschland,', 'start': np.float64(86.539), 'end': np.float64(86.94), 'score': np.float64(0.891), 'speaker': 'SPEAKER_15'}, {'word': 'sondern', 'start': np.float64(86.98), 'end': np.float64(87.901), 'score': np.float64(0.869), 'speaker': 'SPEAKER_15'}, {'word': 'auch', 'start': np.float64(87.921), 'end': np.float64(88.743), 'score': np.float64(0.953), 'speaker': 'SPEAKER_15'}, {'word': 'um', 'start': np.float64(89.243), 'end': np.float64(89.283), 'score': np.float64(0.486), 'speaker': 'SPEAKER_15'}, {'word': 'das', 'start': np.float64(89.303), 'end': np.float64(89.424), 'score': np.float64(0.401), 'speaker': 'SPEAKER_15'}, {'word': 'Treffen', 'start': np.float64(89.464), 'end': np.float64(89.664), 'score': np.float64(0.936), 'speaker': 'SPEAKER_15'}, {'word': 'der', 'start': np.float64(89.704), 'end': np.float64(89.784), 'score': np.float64(0.996), 'speaker': 'SPEAKER_15'}, {'word': 'Vereinten', 'start': np.float64(89.804), 'end': np.float64(90.125), 'score': np.float64(0.879), 'speaker': 'SPEAKER_15'}, {'word': 'Nationen', 'start': np.float64(90.185), 'end': np.float64(90.645), 'score': np.float64(0.808), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(90.685), 'end': np.float64(90.766), 'score': np.float64(0.895), 'speaker': 'SPEAKER_15'}, {'word': 'New', 'start': np.float64(90.806), 'end': np.float64(90.986), 'score': np.float64(0.179), 'speaker': 'SPEAKER_15'}, {'word': 'York.', 'start': np.float64(91.006), 'end': np.float64(91.767), 'score': np.float64(0.725), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
91.983,96.228, das in vielfältiger Hinsicht interessant war.,"[{'word': 'das', 'start': np.float64(91.983), 'end': np.float64(92.824), 'score': np.float64(0.655), 'speaker': 'SPEAKER_15'}, {'word': 'in', 'start': np.float64(92.864), 'end': np.float64(92.964), 'score': np.float64(0.886), 'speaker': 'SPEAKER_15'}, {'word': 'vielfältiger', 'start': np.float64(92.984), 'end': np.float64(93.765), 'score': np.float64(0.773), 'speaker': 'SPEAKER_15'}, {'word': 'Hinsicht', 'start': np.float64(93.805), 'end': np.float64(94.506), 'score': np.float64(0.945), 'speaker': 'SPEAKER_15'}, {'word': 'interessant', 'start': np.float64(94.526), 'end': np.float64(94.926), 'score': np.float64(0.899), 'speaker': 'SPEAKER_15'}, {'word': 'war.', 'start': np.float64(94.966), 'end': np.float64(96.228), 'score': np.float64(0.896), 'speaker': 'SPEAKER_15'}]",SPEAKER_15
